,Index,name,reviews,rating,featured_image,main_category,closed_on,address,review_keywords,link,planning_area,opening_time,closing_time
0,1,Mian Ji Fan chicken rice,42,4.6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrIVhMn8QVdtY4LY7Tq-OMAd6Ixzn7nuymWxYEiAvD2FkmpePPq3GWWHaLK3OV8iOcyBJCsYGrgyL9UTojJo4ULq8Ight0dsY2GCYHpEnO_H4CVHXfivYAYbiuiZj4jGhovNr8I=s1024,Hawker Stall,"Monday, Thursday, Saturday","153 Serangoon North Ave 1, #01-512, Singapore 550153","price, queue, achar, chili, ginger, cucumber, coffee shop, pineapple, lunch, school",https://www.google.com/maps/place/Mian+Ji+Fan+chicken+rice/data=!4m7!3m6!1s0x31da17e6e820542f:0x9e9df7ca169cc1fa!8m2!3d1.3703464!4d103.8723502!16s%2Fg%2F11jv157qvc!19sChIJL1Qg6OYX2jER-sGcFsr3nZ4?authuser=0&hl=en&rclk=1,Serangoon,10:00,14:00
1,2,Nam Kee Chicken Rice Restaurant,827,4.2,https://lh3.googleusercontent.com/p/AF1QipMy1_v4uuoyp80ZXGMGxdONNUA3tTjO7IhhTH8q=s1024,Chicken restaurant,Open All Days,"201 Upper Thomson Rd, Singapore 574343","school, hainanese chicken rice, steamed chicken, ginger, pork chop, 80s, kailan, fragrant, fish maw, deep fried tofu",https://www.google.com/maps/place/Nam+Kee+Chicken+Rice+Restaurant/data=!4m7!3m6!1s0x31da173a5b3b2939:0x1578904ee65a0d66!8m2!3d1.3519271!4d103.8352298!16s%2Fg%2F1v41xz84!19sChIJOSk7WzoX2jERZg1a5k6QeBU?authuser=0&hl=en&rclk=1,Bishan,10:45,20:30
2,3,OK Chicken Rice & Humfull Laksa (Hougang),349,4.4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0AKfaqfq6nPC9hVzbO3addDK5-3QxVN5dG-w7pqOr2b_vJSXFcFAUdnn54_TKsQrpo-U2CAhW-52hRVgsaCry_6ZTrzPgu2HK5dNQv8Dox_IGA8gLOM43kjlclyyxyinHwAn4=s1024,Hawker Stall,Open All Days,"932 Hougang Ave 9, #01-04, Singapore 530932","roasted chicken rice, steam chicken, halal, coffee shop, curry chicken, order, broth, cutlet, char siew chicken, char siu",https://www.google.com/maps/place/OK+Chicken+Rice+%26+Humfull+Laksa+%28Hougang%29/data=!4m7!3m6!1s0x31da17766e8b313d:0xae608765948d5688!8m2!3d1.3751909!4d103.8819805!16s%2Fg%2F11kkpvgfgn!19sChIJPTGLbnYX2jERiFaNlGWHYK4?authuser=0&hl=en&rclk=1,Hougang,09:00,20:30
3,4,Ming Kee Chicken Rice,475,3.8,https://lh3.googleusercontent.com/p/AF1QipMGs_bgFsgy9yL2YIGKESqmKI9EoYmG7lVHMNMz=s1024,Hawker Stall,Tuesday,"511 Bishan St. 13, #01-522 Kim San Leng Coffee Shop, Singapore 570511","skin, chilli sauce, chicken breast, steamed chicken, hainanese chicken rice, chicken feet, thigh, drumstick, bean sprout, jelly",https://www.google.com/maps/place/Ming+Kee+Chicken+Rice/data=!4m7!3m6!1s0x31da17140ff3e449:0x7f0ffef2ac3d42e2!8m2!3d1.3492588!4d103.849947!16s%2Fg%2F1tgp7sqb!19sChIJSeTzDxQX2jER4kI9rPL-D38?authuser=0&hl=en&rclk=1,Bishan,10:00,20:00
4,5,Sin Ming Rd Chicken Rice Xin Min Lu Ji Fan,295,4.4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5zUc240BLyUjYVQL3rpDLfhzq738QFfcHXdTSxSErSg4f8oaDArfoaG_KpxHvyYBoCwSqaD1-P4k42Re5NPe70tGXmiDuPk_MFmQ20bEXCaJWntEY700KUyhArFv71cNFhEEd=s1024,Restaurant,Open All Days,"151 Bishan St.11, #01- 195 Block 151, Singapore 570151","roasted chicken, chilli, steamed chicken, air-conditioned, succulent, self service, chicken soup, jelly, ginger sauce, herbal",https://www.google.com/maps/place/Sin+Ming+Rd+Chicken+Rice+%E6%96%B0%E6%B0%91%E8%B7%AF%E9%B8%A1%E9%A5%AD/data=!4m7!3m6!1s0x31da1750487233bd:0x739fa6d390c157d!8m2!3d1.3454675!4d103.8557064!16s%2Fg%2F11kmtnssv3!19sChIJvTNySFAX2jERfRUMOW36OQc?authuser=0&hl=en&rclk=1,Bishan,10:30,20:00
5,6,Hougang Hainanese Boneless Chicken Rice,96,4.3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxm0sVf8kakbGVW9ERl0WP0POrLnSl9DYsdpH3Qq1na1f-mcvy_Amz1roytMtOv99vXAUOY2RoKEYwI4joLfCPjMOm-sCkOCrkGJiEYsECW8LZ9ek6dYyZSNs9R-UNBhZCE0YIAg=s1024,Hawker Stall,Open All Days,"809 Hougang Central, #01-178, Singapore 530809","price, soup, queue, roasted chicken, chili, spicy, takeaway, steam chicken, char siew, hainan chicken rice",https://www.google.com/maps/place/Hougang+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da17b32c68b6b3:0x85fd455476743207!8m2!3d1.3712772!4d103.8939151!16s%2Fg%2F11h_76jt8m!19sChIJs7ZoLLMX2jERBzJ0dlRF_YU?authuser=0&hl=en&rclk=1,Hougang,09:30,19:00
6,7,925 Yishun Hainanese Chicken Rice,251,3.8,https://lh3.googleusercontent.com/p/AF1QipNrONLj_GiV7x7xrdiyP6ZRhM6NpfPgUG_KOVU=s1024,Hawker Stall,Open All Days,"722 Ang Mo Kio Ave 8, #01-2843, Singapore 560722","price, soup, achar, chili, roasted chicken, queue, takeaway, portion sizes, delivery, coffeeshop",https://www.google.com/maps/place/925+Yishun+Hainanese+Chicken+Rice/data=!4m7!3m6!1s0x31da16e7b56fb209:0xa3b6812028c123b2!8m2!3d1.3721708!4d103.8475846!16s%2Fg%2F11cn6ct4cr!19sChIJCbJvtecW2jERsiPBKCCBtqM?authuser=0&hl=en&rclk=1,Ang Mo Kio,09:30,20:30
7,8,Ji Zi Ji Ji Zai Ji Golden Mile Hainanese Boneless Chicken Rice,78,4.4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npNSi_TzOuEihuIKhaZCCJsoP3vF64vZ5xLMCfBG-C_kywYJQyvruR_QfjKtvV6Y03HrY6hgzV8ZFfM0Fspu7GBOKf2i3tVNvnrKzblFpd7UnCfAhFiFWyUBLnJ-lUAes34880xh1ImYQ2a=s1024,Restaurant,Sunday,"505 Beach Rd, #B1-35, Singapore 199583","queue, price, chilli, ginger, system, stall, skin, lunch, roasted chicken, rice and chicken",https://www.google.com/maps/place/%E9%B8%A1%E4%BB%94%E8%AE%B0+Ji+Zai+Ji+Golden+Mile+Hainanese+Boneless+Chicken+Rice/data=!4m7!3m6!1s0x31da194aa41da237:0xc807d5d0fc443a16!8m2!3d1.3030828!4d103.8639394!16s%2Fg%2F11fgm612zw!19sChIJN6IdpEoZ2jERFjpE_NDVB8g?authuser=0&hl=en&rclk=1,Rochor,10:30,20:00
8,9,Poh Kee Chicken Rice,77,4.8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqWUmihTV9tRnt4QCzqS0cZtTQAS7entuPGapQLZ18VH9WchDNp0-pCWTSFpj-mofFS__oGx86c3vG5-oLCxNuxIFOzArl6hwH3ubeRiBluhmzO-4Bb5IcbTuaHINlCsY82tVT3=s1024,Hawker Stall,Sunday,"206 Toa Payoh N, #01-1197, Singapore 310206","price, steam chicken, soup, news, cabbage, roasted chicken rice, owner, bean sprouts, uncle, steamed",https://www.google.com/maps/place/Poh+Kee+Chicken+Rice/data=!4m7!3m6!1s0x31da170881d664f1:0x2c2be8a2d2b256da!8m2!3d1.3422374!4d103.8467443!16s%2Fg%2F11q4k61qr8!19sChIJ8WTWgQgX2jER2lay0qLoKyw?authuser=0&hl=en&rclk=1,Toa Payoh,10:30,20:00
9,10,Wee Nam Kee Hainanese Chicken Rice Restaurant,1818,4.1,https://lh3.googleusercontent.com/p/AF1QipO-aR0wMo2TWfpXtBmZs5PtWLBrQ1mgu7T8dHRd=s1024,Chinese restaurant,Open All Days,"101 Thomson Rd, #01-08 United Square, Singapore 307591","hainan chicken, curry fish head, dumpling soup, roast pork, roasted chicken rice, novena, zi char, katong mei wei chicken rice, chili crab, hot plate beancurd",https://www.google.com/maps/place/Wee+Nam+Kee+Hainanese+Chicken+Rice+Restaurant/data=!4m7!3m6!1s0x31da19e6d9c6fda3:0xb7d0c7905759a619!8m2!3d1.3170307!4d103.8438731!16s%2Fg%2F1pp2tl2j2!19sChIJo_3G2eYZ2jERGaZZV5DH0Lc?authuser=0&hl=en&rclk=1,Novena,11:00,21:00
